elec_date,county,entity_description,race_number,race_description,race_party,tot_race_prec,race_prec_reporting,cand_number,cand_name,cand_party,cand_absmail_votes,cand_early_votes,cand_elecday_votes,cand_tot_votes,race_county_owner
6/28/2022,"ADAIR","ADAIR COUNTY",11001,"FOR GOVERNOR",REP,17,17,1,"MOIRA McCABE",REP,1,3,57,61,,
6/28/2022,"ADAIR","ADAIR COUNTY",11001,"FOR GOVERNOR",REP,17,17,2,"JOEL KINTSEL",REP,2,6,141,149,,
6/28/2022,"ADAIR","ADAIR COUNTY",11001,"FOR GOVERNOR",REP,17,17,3,"KEVIN STITT",REP,22,77,1296,1395,,
6/28/2022,"ADAIR","ADAIR COUNTY",11001,"FOR GOVERNOR",REP,17,17,4,"MARK SHERWOOD",REP,4,11,242,257,,
6/28/2022,"ADAIR","ADAIR COUNTY",11003,"FOR STATE AUDITOR AND INSPECTOR",REP,17,17,1,"STEVEN W. McQUILLEN",REP,11,28,627,666,,
6/28/2022,"ADAIR","ADAIR COUNTY",11003,"FOR STATE AUDITOR AND INSPECTOR",REP,17,17,2,"CINDY BYRD",REP,16,68,1050,1134,,
6/28/2022,"ADAIR","ADAIR COUNTY",11004,"FOR ATTORNEY GENERAL",REP,17,17,1,"GENTNER F. DRUMMOND",REP,11,62,847,920,,
6/28/2022,"ADAIR","ADAIR COUNTY",11004,"FOR ATTORNEY GENERAL",REP,17,17,2,"JOHN M. O'CONNOR",REP,17,34,849,900,,
6/28/2022,"ADAIR","ADAIR COUNTY",11005,"FOR STATE TREASURER",REP,17,17,1,"DAVID B. HOOTEN",REP,12,24,377,413,,
6/28/2022,"ADAIR","ADAIR COUNTY",11005,"FOR STATE TREASURER",REP,17,17,2,"CLARK JOLLEY",REP,3,21,370,394,,
6/28/2022,"ADAIR","ADAIR COUNTY",11005,"FOR STATE TREASURER",REP,17,17,3,"TODD RUSS",REP,13,48,893,954,,
6/28/2022,"ADAIR","ADAIR COUNTY",11006,"FOR SUPERINTENDENT OF PUBLIC INSTRUCTION",REP,17,17,1,"JOHN COX",REP,12,53,722,787,,
6/28/2022,"ADAIR","ADAIR COUNTY",11006,"FOR SUPERINTENDENT OF PUBLIC INSTRUCTION",REP,17,17,2,"WILLIAM E. CROZIER",REP,6,9,191,206,,
6/28/2022,"ADAIR","ADAIR COUNTY",11006,"FOR SUPERINTENDENT OF PUBLIC INSTRUCTION",REP,17,17,3,"APRIL GRACE",REP,4,15,381,400,,
6/28/2022,"ADAIR","ADAIR COUNTY",11006,"FOR SUPERINTENDENT OF PUBLIC INSTRUCTION",REP,17,17,4,"RYAN WALTERS",REP,6,17,400,423,,
6/28/2022,"ADAIR","ADAIR COUNTY",11007,"FOR COMMISSIONER OF LABOR",REP,17,17,1,"KEITH SWINTON",REP,5,17,293,315,,
6/28/2022,"ADAIR","ADAIR COUNTY",11007,"FOR COMMISSIONER OF LABOR",REP,17,17,2,"SEAN ROBERTS",REP,10,33,617,660,,
6/28/2022,"ADAIR","ADAIR COUNTY",11007,"FOR COMMISSIONER OF LABOR",REP,17,17,3,"LESLIE KATHRYN OSBORN",REP,13,41,747,801,,
6/28/2022,"ADAIR","ADAIR COUNTY",11009,"FOR CORPORATION COMMISSIONER",REP,17,17,1,"HAROLD D SPRADLING",REP,5,17,230,252,,
6/28/2022,"ADAIR","ADAIR COUNTY",11009,"FOR CORPORATION COMMISSIONER",REP,17,17,2,"JUSTIN HORNBACK",REP,9,13,367,389,,
6/28/2022,"ADAIR","ADAIR COUNTY",11009,"FOR CORPORATION COMMISSIONER",REP,17,17,3,"TODD THOMSEN",REP,5,17,400,422,,
6/28/2022,"ADAIR","ADAIR COUNTY",11009,"FOR CORPORATION COMMISSIONER",REP,17,17,4,"KIM DAVID",REP,7,46,638,691,,
6/28/2022,"ADAIR","ADAIR COUNTY",11010,"FOR UNITED STATES SENATOR",REP,17,17,1,"JACKSON LAHMEYER",REP,3,29,337,369,,
6/28/2022,"ADAIR","ADAIR COUNTY",11010,"FOR UNITED STATES SENATOR",REP,17,17,2,"JAMES LANKFORD",REP,26,63,1258,1347,,
6/28/2022,"ADAIR","ADAIR COUNTY",11010,"FOR UNITED STATES SENATOR",REP,17,17,3,"JOAN FARR",REP,0,2,114,116,,
6/28/2022,"ADAIR","ADAIR COUNTY",11011,"FOR UNITED STATES SENATOR (UNEXPIRED TERM)",REP,17,17,1,"LUKE HOLLAND",REP,0,7,100,107,,
6/28/2022,"ADAIR","ADAIR COUNTY",11011,"FOR UNITED STATES SENATOR (UNEXPIRED TERM)",REP,17,17,2,"MARKWAYNE MULLIN",REP,22,71,1340,1433,,
6/28/2022,"ADAIR","ADAIR COUNTY",11011,"FOR UNITED STATES SENATOR (UNEXPIRED TERM)",REP,17,17,3,"JOHN F. TOMPKINS",REP,0,0,7,7,,
6/28/2022,"ADAIR","ADAIR COUNTY",11011,"FOR UNITED STATES SENATOR (UNEXPIRED TERM)",REP,17,17,4,"SCOTT PRUITT",REP,2,2,53,57,,
6/28/2022,"ADAIR","ADAIR COUNTY",11011,"FOR UNITED STATES SENATOR (UNEXPIRED TERM)",REP,17,17,5,"T.W. SHANNON",REP,2,8,98,108,,
6/28/2022,"ADAIR","ADAIR COUNTY",11011,"FOR UNITED STATES SENATOR (UNEXPIRED TERM)",REP,17,17,6,"ADAM HOLLEY",REP,0,0,5,5,,
6/28/2022,"ADAIR","ADAIR COUNTY",11011,"FOR UNITED STATES SENATOR (UNEXPIRED TERM)",REP,17,17,7,"RANDY J GRELLNER",REP,1,0,17,18,,
6/28/2022,"ADAIR","ADAIR COUNTY",11011,"FOR UNITED STATES SENATOR (UNEXPIRED TERM)",REP,17,17,8,"ALEX GRAY",REP,0,0,7,7,,
6/28/2022,"ADAIR","ADAIR COUNTY",11011,"FOR UNITED STATES SENATOR (UNEXPIRED TERM)",REP,17,17,9,"PAUL ROYSE",REP,0,0,2,2,,
6/28/2022,"ADAIR","ADAIR COUNTY",11011,"FOR UNITED STATES SENATOR (UNEXPIRED TERM)",REP,17,17,10,"LAURA MORENO",REP,0,1,16,17,,
6/28/2022,"ADAIR","ADAIR COUNTY",11011,"FOR UNITED STATES SENATOR (UNEXPIRED TERM)",REP,17,17,11,"NATHAN DAHM",REP,1,7,73,81,,
6/28/2022,"ADAIR","ADAIR COUNTY",11011,"FOR UNITED STATES SENATOR (UNEXPIRED TERM)",REP,17,17,12,"JESSICA JEAN GARRISON",REP,0,1,14,15,,
6/28/2022,"ADAIR","ADAIR COUNTY",11011,"FOR UNITED STATES SENATOR (UNEXPIRED TERM)",REP,17,17,13,"MICHAEL COIBION",REP,0,0,7,7,,
6/28/2022,"ADAIR","ADAIR COUNTY",11013,"FOR UNITED STATES REPRESENTATIVE DISTRICT 02",REP,17,17,1,"JOHN BENNETT",REP,2,17,221,240,,
6/28/2022,"ADAIR","ADAIR COUNTY",11013,"FOR UNITED STATES REPRESENTATIVE DISTRICT 02",REP,17,17,2,"CHRIS SCHILLER",REP,4,5,96,105,,
6/28/2022,"ADAIR","ADAIR COUNTY",11013,"FOR UNITED STATES REPRESENTATIVE DISTRICT 02",REP,17,17,3,"DAVID DERBY",REP,0,3,60,63,,
6/28/2022,"ADAIR","ADAIR COUNTY",11013,"FOR UNITED STATES REPRESENTATIVE DISTRICT 02",REP,17,17,4,"JOSH BRECHEEN",REP,0,4,47,51,,
6/28/2022,"ADAIR","ADAIR COUNTY",11013,"FOR UNITED STATES REPRESENTATIVE DISTRICT 02",REP,17,17,5,"GUY BARKER",REP,3,9,161,173,,
6/28/2022,"ADAIR","ADAIR COUNTY",11013,"FOR UNITED STATES REPRESENTATIVE DISTRICT 02",REP,17,17,6,"PAMELA GORDON",REP,0,1,32,33,,
6/28/2022,"ADAIR","ADAIR COUNTY",11013,"FOR UNITED STATES REPRESENTATIVE DISTRICT 02",REP,17,17,7,"WES NOFIRE",REP,3,19,423,445,,
6/28/2022,"ADAIR","ADAIR COUNTY",11013,"FOR UNITED STATES REPRESENTATIVE DISTRICT 02",REP,17,17,8,"ERICK P. WYATT",REP,0,1,6,7,,
6/28/2022,"ADAIR","ADAIR COUNTY",11013,"FOR UNITED STATES REPRESENTATIVE DISTRICT 02",REP,17,17,9,"JOHNNY TEEHEE",REP,4,13,312,329,,
6/28/2022,"ADAIR","ADAIR COUNTY",11013,"FOR UNITED STATES REPRESENTATIVE DISTRICT 02",REP,17,17,10,"AVERY FRIX",REP,8,17,263,288,,
6/28/2022,"ADAIR","ADAIR COUNTY",11013,"FOR UNITED STATES REPRESENTATIVE DISTRICT 02",REP,17,17,11,"DUSTIN ROBERTS",REP,0,0,24,24,,
6/28/2022,"ADAIR","ADAIR COUNTY",11013,"FOR UNITED STATES REPRESENTATIVE DISTRICT 02",REP,17,17,12,"CLINT JOHNSON",REP,0,4,25,29,,
6/28/2022,"ADAIR","ADAIR COUNTY",11013,"FOR UNITED STATES REPRESENTATIVE DISTRICT 02",REP,17,17,13,"RHONDA HOPKINS",REP,0,0,25,25,,
6/28/2022,"ADAIR","ADAIR COUNTY",11013,"FOR UNITED STATES REPRESENTATIVE DISTRICT 02",REP,17,17,14,"MARTY QUINN",REP,2,3,24,29,,
6/28/2022,"ADAIR","ADAIR COUNTY",11018,"FOR STATE SENATOR DISTRICT 4",REP,17,17,1,"TOM WOODS",REP,16,41,993,1050,,
6/28/2022,"ADAIR","ADAIR COUNTY",11018,"FOR STATE SENATOR DISTRICT 4",REP,17,17,2,"HOGUEN APPERSON",REP,1,12,139,152,,
6/28/2022,"ADAIR","ADAIR COUNTY",11018,"FOR STATE SENATOR DISTRICT 4",REP,17,17,3,"TOM CALLAN",REP,2,5,148,155,,
6/28/2022,"ADAIR","ADAIR COUNTY",11018,"FOR STATE SENATOR DISTRICT 4",REP,17,17,4,"KEITH A BARENBERG",REP,7,38,446,491,,
6/28/2022,"ADAIR","ADAIR COUNTY",11400,"FOR COUNTY COMMISSIONER DISTRICT NO. 3",REP,5,5,1,"LARRY WOOD",REP,4,22,401,427,ADAIR
6/28/2022,"ADAIR","ADAIR COUNTY",11400,"FOR COUNTY COMMISSIONER DISTRICT NO. 3",REP,5,5,2,"CHRIS JONES",REP,2,1,200,203,ADAIR
6/28/2022,"ADAIR","ADAIR COUNTY",13001,"FOR GOVERNOR",DEM,17,17,1,"CONNIE JOHNSON",DEM,10,14,324,348,,
6/28/2022,"ADAIR","ADAIR COUNTY",13001,"FOR GOVERNOR",DEM,17,17,2,"JOY HOFMEISTER",DEM,14,35,525,574,,
6/28/2022,"ADAIR","ADAIR COUNTY",13010,"FOR UNITED STATES SENATOR",DEM,17,17,1,"JASON BOLLINGER",DEM,0,4,117,121,,
6/28/2022,"ADAIR","ADAIR COUNTY",13010,"FOR UNITED STATES SENATOR",DEM,17,17,2,"BRANDON WADE",DEM,1,3,98,102,,
6/28/2022,"ADAIR","ADAIR COUNTY",13010,"FOR UNITED STATES SENATOR",DEM,17,17,3,"MADISON HORN",DEM,16,36,405,457,,
6/28/2022,"ADAIR","ADAIR COUNTY",13010,"FOR UNITED STATES SENATOR",DEM,17,17,4,"ARYA AZMA",DEM,0,0,21,21,,
6/28/2022,"ADAIR","ADAIR COUNTY",13010,"FOR UNITED STATES SENATOR",DEM,17,17,5,"JO GLENN",DEM,2,2,48,52,,
6/28/2022,"ADAIR","ADAIR COUNTY",13010,"FOR UNITED STATES SENATOR",DEM,17,17,6,"DENNIS L. BAKER",DEM,5,7,151,163,,
6/28/2022,"ADAIR","ADAIR COUNTY",13323,"FOR COUNTY COMMISSIONER DISTRICT NO. 1",DEM,6,6,1,"MIKE WININGER",DEM,6,13,196,215,ADAIR
6/28/2022,"ADAIR","ADAIR COUNTY",13323,"FOR COUNTY COMMISSIONER DISTRICT NO. 1",DEM,6,6,2,"CHRIS BRUNER",DEM,4,22,222,248,ADAIR
6/28/2022,"ALFALFA","ALFALFA COUNTY",11001,"FOR GOVERNOR",REP,8,8,1,"MOIRA McCABE",REP,3,4,31,38,,
6/28/2022,"ALFALFA","ALFALFA COUNTY",11001,"FOR GOVERNOR",REP,8,8,2,"JOEL KINTSEL",REP,6,17,165,188,,
6/28/2022,"ALFALFA","ALFALFA COUNTY",11001,"FOR GOVERNOR",REP,8,8,3,"KEVIN STITT",REP,9,75,773,857,,
6/28/2022,"ALFALFA","ALFALFA COUNTY",11001,"FOR GOVERNOR",REP,8,8,4,"MARK SHERWOOD",REP,3,23,151,177,,
6/28/2022,"ALFALFA","ALFALFA COUNTY",11003,"FOR STATE AUDITOR AND INSPECTOR",REP,8,8,1,"STEVEN W. McQUILLEN",REP,3,42,327,372,,
6/28/2022,"ALFALFA","ALFALFA COUNTY",11003,"FOR STATE AUDITOR AND INSPECTOR",REP,8,8,2,"CINDY BYRD",REP,17,76,768,861,,
6/28/2022,"ALFALFA","ALFALFA COUNTY",11004,"FOR ATTORNEY GENERAL",REP,8,8,1,"GENTNER F. DRUMMOND",REP,15,58,568,641,,
6/28/2022,"ALFALFA","ALFALFA COUNTY",11004,"FOR ATTORNEY GENERAL",REP,8,8,2,"JOHN M. O'CONNOR",REP,6,58,535,599,,
6/28/2022,"ALFALFA","ALFALFA COUNTY",11005,"FOR STATE TREASURER",REP,8,8,1,"DAVID B. HOOTEN",REP,3,18,189,210,,
6/28/2022,"ALFALFA","ALFALFA COUNTY",11005,"FOR STATE TREASURER",REP,8,8,2,"CLARK JOLLEY",REP,5,24,283,312,,
6/28/2022,"ALFALFA","ALFALFA COUNTY",11005,"FOR STATE TREASURER",REP,8,8,3,"TODD RUSS",REP,10,73,599,682,,
6/28/2022,"ALFALFA","ALFALFA COUNTY",11006,"FOR SUPERINTENDENT OF PUBLIC INSTRUCTION",REP,8,8,1,"JOHN COX",REP,1,20,247,268,,
6/28/2022,"ALFALFA","ALFALFA COUNTY",11006,"FOR SUPERINTENDENT OF PUBLIC INSTRUCTION",REP,8,8,2,"WILLIAM E. CROZIER",REP,2,3,24,29,,
6/28/2022,"ALFALFA","ALFALFA COUNTY",11006,"FOR SUPERINTENDENT OF PUBLIC INSTRUCTION",REP,8,8,3,"APRIL GRACE",REP,9,52,391,452,,
6/28/2022,"ALFALFA","ALFALFA COUNTY",11006,"FOR SUPERINTENDENT OF PUBLIC INSTRUCTION",REP,8,8,4,"RYAN WALTERS",REP,6,41,419,466,,
6/28/2022,"ALFALFA","ALFALFA COUNTY",11007,"FOR COMMISSIONER OF LABOR",REP,8,8,1,"KEITH SWINTON",REP,2,9,180,191,,
6/28/2022,"ALFALFA","ALFALFA COUNTY",11007,"FOR COMMISSIONER OF LABOR",REP,8,8,2,"SEAN ROBERTS",REP,5,29,296,330,,
6/28/2022,"ALFALFA","ALFALFA COUNTY",11007,"FOR COMMISSIONER OF LABOR",REP,8,8,3,"LESLIE KATHRYN OSBORN",REP,10,74,593,677,,
6/28/2022,"ALFALFA","ALFALFA COUNTY",11009,"FOR CORPORATION COMMISSIONER",REP,8,8,1,"HAROLD D SPRADLING",REP,2,25,187,214,,
6/28/2022,"ALFALFA","ALFALFA COUNTY",11009,"FOR CORPORATION COMMISSIONER",REP,8,8,2,"JUSTIN HORNBACK",REP,3,10,201,214,,
6/28/2022,"ALFALFA","ALFALFA COUNTY",11009,"FOR CORPORATION COMMISSIONER",REP,8,8,3,"TODD THOMSEN",REP,4,27,262,293,,
6/28/2022,"ALFALFA","ALFALFA COUNTY",11009,"FOR CORPORATION COMMISSIONER",REP,8,8,4,"KIM DAVID",REP,8,52,398,458,,
6/28/2022,"ALFALFA","ALFALFA COUNTY",11010,"FOR UNITED STATES SENATOR",REP,8,8,1,"JACKSON LAHMEYER",REP,2,22,255,279,,
6/28/2022,"ALFALFA","ALFALFA COUNTY",11010,"FOR UNITED STATES SENATOR",REP,8,8,2,"JAMES LANKFORD",REP,19,91,820,930,,
6/28/2022,"ALFALFA","ALFALFA COUNTY",11010,"FOR UNITED STATES SENATOR",REP,8,8,3,"JOAN FARR",REP,0,5,42,47,,
6/28/2022,"ALFALFA","ALFALFA COUNTY",11011,"FOR UNITED STATES SENATOR (UNEXPIRED TERM)",REP,8,8,1,"LUKE HOLLAND",REP,5,26,168,199,,
6/28/2022,"ALFALFA","ALFALFA COUNTY",11011,"FOR UNITED STATES SENATOR (UNEXPIRED TERM)",REP,8,8,2,"MARKWAYNE MULLIN",REP,9,29,391,429,,
6/28/2022,"ALFALFA","ALFALFA COUNTY",11011,"FOR UNITED STATES SENATOR (UNEXPIRED TERM)",REP,8,8,3,"JOHN F. TOMPKINS",REP,0,1,15,16,,
6/28/2022,"ALFALFA","ALFALFA COUNTY",11011,"FOR UNITED STATES SENATOR (UNEXPIRED TERM)",REP,8,8,4,"SCOTT PRUITT",REP,1,12,88,101,,
